cell_id,hardware,mode,world_size,phase,share_pct
2cc0151c8d97cc1ce031,H100,training,4,pack,5.05036192228779
2cc0151c8d97cc1ce031,H100,training,4,dispatch,17.38438199840409
2cc0151c8d97cc1ce031,H100,training,4,expert_compute,29.603076354909838
2cc0151c8d97cc1ce031,H100,training,4,return,19.499897501214335
2cc0151c8d97cc1ce031,H100,training,4,combine,28.462282223183948
2d842812439799c3f8c5,H100,forward,2,pack,3.978010619746879
2d842812439799c3f8c5,H100,forward,2,dispatch,16.104319052312352
2d842812439799c3f8c5,H100,forward,2,expert_compute,29.989661030045404
2d842812439799c3f8c5,H100,forward,2,return,20.143282699652357
2d842812439799c3f8c5,H100,forward,2,combine,29.784726598243005
2ebe00c1ff7590a763eb,B200,training,2,pack,4.160288434153982
2ebe00c1ff7590a763eb,B200,training,2,dispatch,14.116126078784763
2ebe00c1ff7590a763eb,B200,training,2,expert_compute,5.968727318853579
2ebe00c1ff7590a763eb,B200,training,2,return,14.358783295611541
2ebe00c1ff7590a763eb,B200,training,2,combine,61.39607487259613
2fcf513ab1e1e0d88c78,A100-40GB,training,4,pack,3.8680418094214497
2fcf513ab1e1e0d88c78,A100-40GB,training,4,dispatch,14.299169996436937
2fcf513ab1e1e0d88c78,A100-40GB,training,4,expert_compute,8.599422332080284
2fcf513ab1e1e0d88c78,A100-40GB,training,4,return,16.848659349372706
2fcf513ab1e1e0d88c78,A100-40GB,training,4,combine,56.38470651268862
307824a0f4845c7ed4e7,B200,forward,8,pack,3.6527701241975272
307824a0f4845c7ed4e7,B200,forward,8,dispatch,16.71678539804441
307824a0f4845c7ed4e7,B200,forward,8,expert_compute,17.57255278679015
307824a0f4845c7ed4e7,B200,forward,8,return,19.268199397977142
307824a0f4845c7ed4e7,B200,forward,8,combine,42.789692292990765
32a90b1167a5aa8b41fe,A100-40GB,training,4,pack,4.14325755986792
32a90b1167a5aa8b41fe,A100-40GB,training,4,dispatch,13.194210771106976
32a90b1167a5aa8b41fe,A100-40GB,training,4,expert_compute,23.925645894891172
32a90b1167a5aa8b41fe,A100-40GB,training,4,return,14.23190709454234
32a90b1167a5aa8b41fe,A100-40GB,training,4,combine,44.504978679591595
33c7b3e36ff43f75862a,B200,training,4,pack,4.012275516696752
33c7b3e36ff43f75862a,B200,training,4,dispatch,15.469842877160069
