cell_id,suite,hardware,world_size,runtime_profile,case_kind,collective,overlap,mode,tokens,num_experts,routing_variant,routed_experts_per_token,shared_experts_per_token,network_copies_per_token,routing_profile,capacity_factor,hidden_size,intermediate_size,executed_replicates,successful_sample_replicates,statuses,replicate_count,replicate_medians_ms,replicate_min_ms,replicate_max_ms,median_of_replicate_medians_ms,hierarchical_bootstrap_samples,hierarchical_ci95_low_ms,hierarchical_ci95_high_ms,independence_unit,median_ms,tokens_per_second,useful_tflops,peak_efficiency_pct,effective_bandwidth_gbps,gpu_ms_per_token,algorithmic_flops,phase_share_pct,scaling_efficiency_pct,sequence_length,window,batch_size,dtype,num_heads,head_dim,model_width,block_size,message_bytes_per_rank,compile_time_ms,first_call_ms,peak_allocated_bytes,peak_reserved_bytes,p05_ms,p95_ms,cv_pct,tail_inflation,latency_per_batch_token_ms,attention_type,attention_density,peak_reserved_gib,pareto_optimal
dec0900ca80e8740e0b6,attention,B200,1,baseline,,,,training,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[3.522879958152771, 3.540351986885071]",3.522879958152771,3.540351986885071,3.531615972518921,4000.0,3.5217039585113525,3.543520033359528,fresh Modal container replicate,3.531615972518921,2319632.1997685363,233.55883001737283,10.380392445216568,,,824835047424.0,,,4096.0,,2.0,bfloat16,64.0,64.0,4096.0,,,0.0,8.845780990668572,818021376.0,828375040.0,3.5245903849601747,3.5531943202018734,0.3042401732073335,1.0061100492949582,0.0004311054653953761,global,1.0,0.771484375,False
defb1126e16bff2ebb22,attention,B200,1,baseline,,,,training,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.48768000304698944, 0.5959199965000153]",0.4876800030469894,0.5959199965000153,0.5417999997735023,4000.0,0.4856479987502098,0.609144002199173,fresh Modal container replicate,0.5417999997735023,3818088.986353043,96.1791888018277,4.274630613414564,,,51589939200.0,,,1024.0,8192.0,2.0,float16,16.0,256.0,4096.0,128.0,,3603.313782998157,1.272681500267936,143003648.0,159383552.0,0.5227368071675301,0.604764000326395,5.7163682224036965,1.1162126256537737,0.00026455078113940544,windowed,1.0,0.1484375,False
dfb4135363791f4ac0ed,attention,H100,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[4.409312009811401, 4.378000020980835]",4.378000020980835,4.409312009811401,4.393656015396118,4000.0,4.36677610874176,4.479920148849487,fresh Modal container replicate,4.393656015396118,7458120.515922048,375.4100450106001,37.93936786362811,,,1649401659392.0,,,8192.0,4096.0,4.0,float16,16.0,256.0,4096.0,256.0,,7087.558697487112,5.554800998652354,1111508992.0,2048917504.0,4.361944103240967,4.512559247016907,1.3789709292260266,1.0270624808141857,0.00013408374070422724,windowed,0.5,1.908203125,False
e0d8d0bf4445a07f4e9c,attention,B200,1,baseline,,,,training,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[14.353775978088379, 14.215039730072021]",14.21503973007202,14.35377597808838,14.2844078540802,4000.0,14.213927745819092,14.361151933670044,fresh Modal container replicate,14.2844078540802,4588047.767081838,113.6614324398788,5.051619219550169,,,1623547969536.0,,,16384.0,512.0,4.0,float16,16.0,256.0,4096.0,256.0,,3182.8467264858773,14.59810699452646,4311943168.0,6465519616.0,14.259360098838807,14.467460083961488,0.7231077498004166,1.012814828010459,0.00021796276632812805,windowed,0.03125,6.021484375,False
e2161d8f8b41f5169894,attention,B200,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.6065919995307922, 0.5829119980335236]",0.5829119980335236,0.6065919995307922,0.5947519987821579,4000.0,0.5820959955453873,0.611024022102356,fresh Modal container replicate,0.5947519987821579,27558538.18090565,57.57044766482825,2.558686562881256,,,34226569216.0,,,16384.0,128.0,1.0,float16,32.0,128.0,4096.0,128.0,,855.2772465191083,0.6599979969905689,549849088.0,5257560064.0,0.590732005238533,0.602901604771614,0.7585100181153264,1.0137025281228875,3.630078117566882e-05,windowed,0.0078125,4.896484375,False
e242217b3efe705a367b,attention,A100-40GB,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[6.071295976638794, 4.830719947814941]",4.830719947814941,6.071295976638794,5.451007962226868,4000.0,4.819456100463867,6.0938368290662766,fresh Modal container replicate,5.451007962226868,6090227.069258792,95.79722548314552,30.704238936905615,,,515429629952.0,,,8192.0,1024.0,4.0,bfloat16,64.0,64.0,4096.0,128.0,,3408.210592496289,5.613449002339621,1099106304.0,2046820352.0,5.4287616372108465,5.710873591899872,2.83267594490366,1.0476729499339867,0.00016635156134725548,windowed,0.125,1.90625,False
e2737774f5aa76b397e0,attention,H100,1,baseline,,,,forward,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[0.30219198763370514, 0.2714720070362091]",0.2714720070362091,0.3021919876337051,0.2868319973349571,4000.0,0.2706080004572868,0.314023993909359,fresh Modal container replicate,0.2868319973349571,14321204.493784908,90.15988759325656,9.111661201946092,,,25786580992.0,,,1024.0,512.0,4.0,float16,32.0,128.0,4096.0,128.0,,2089.278714018292,0.7142315007513389,168824832.0,192937984.0,0.276944799721241,0.3074128083884715,4.000264604424897,1.0717521449654743,7.002734309935477e-05,windowed,0.5,0.1796875,False
e37ffea120836e4dc338,attention,H100,1,baseline,,,,training,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[2.0873600244522095, 2.438207983970642]",2.087360024452209,2.438207983970642,2.262784004211426,4000.0,2.084648013114929,2.4519760608673096,fresh Modal container replicate,2.262784004211426,3642209.582774328,171.8721988638611,17.36960069366964,,,386572222464.0,,,8192.0,1024.0,1.0,float16,32.0,128.0,4096.0,128.0,,11518.639235495355,8.342010522028433,572590080.0,1447034880.0,2.22700566649437,2.342252027988434,1.837735001093331,1.0351195799639314,0.00027621875051409006,windowed,0.125,1.34765625,False
e3e365a59c30f069929b,attention,H100,1,baseline,,,,training,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[6.269920110702515, 2.8758718967437744]",2.8758718967437744,6.269920110702515,4.5728960037231445,4000.0,2.7166799902915955,7.5291842222213745,fresh Modal container replicate,4.5728960037231445,2077541.5791781056,104.61714913040645,10.572728562951635,,,412518187008.0,,,2048.0,4096.0,4.0,float16,64.0,64.0,4096.0,128.0,,27913.025429996196,11.677905480610207,574625792.0,689963008.0,3.2719488739967346,7.519092702865599,27.197861262980528,1.6442737155499996,0.0005582148442044854,windowed,1.0,0.642578125,False
e44bb14f6f59fc421fde,attention,H100,1,baseline,,,,training,,,,,,,,,,,2,2,"[""succeeded""]",2.0,"[4.207791805267334, 4.117343902587891]",4.117343902587891,4.207791805267334,4.162567853927612,4000.0,4.108856210112572,4.2423518896102905,fresh Modal container replicate,4.162567853927612,3936496.582056056,191.94483301995956,19.398164024250583,,,798889082880.0,,,16384.0,1024.0,1.0,bfloat16,64.0,64.0,4096.0,128.0,,2921.0738755064085,4.652902978705242,1115949056.0,5270142976.0,4.140992081165313,4.2511079668998715,1.0930489772212504,1.0212705512749098,0.000254062979365699,windowed,0.0625,4.908203125,False
